path,model,hit,max_conf
data\images_eval\dronevsbird\neg\BTR (4847).jpg,yoloworld,1,0.0042
data\images_eval\dronevsbird\neg\BTR (4848).jpg,yoloworld,1,0.0022
data\images_eval\dronevsbird\neg\BTR (4849).jpg,yoloworld,1,0.0029
data\images_eval\dronevsbird\neg\BTR (4850).jpg,yoloworld,1,0.0025
data\images_eval\dronevsbird\neg\BTR (4851).jpg,yoloworld,1,0.0151
data\images_eval\dronevsbird\neg\BTR (4852).jpg,yoloworld,1,0.0017
data\images_eval\dronevsbird\neg\BTR (4853).jpg,yoloworld,1,0.0047
data\images_eval\dronevsbird\neg\BTR (4854).jpg,yoloworld,1,0.0033
data\images_eval\dronevsbird\neg\BTR (4855).jpg,yoloworld,1,0.0018
data\images_eval\dronevsbird\neg\BTR (4856).jpg,yoloworld,1,0.0022
data\images_eval\dronevsbird\neg\BTR (4857).jpg,yoloworld,1,0.0082
data\images_eval\dronevsbird\neg\BTR (4858).jpg,yoloworld,1,0.004
data\images_eval\dronevsbird\neg\BTR (4859).jpg,yoloworld,1,0.0055
data\images_eval\dronevsbird\neg\BTR (4860).jpg,yoloworld,1,0.0083
data\images_eval\dronevsbird\neg\BTR (4861).jpg,yoloworld,1,0.0046
data\images_eval\dronevsbird\neg\BTR (4862).jpg,yoloworld,1,0.0065
data\images_eval\dronevsbird\neg\BTR (4863).jpg,yoloworld,1,0.008
data\images_eval\dronevsbird\neg\BTR (4864).jpg,yoloworld,1,0.0039
data\images_eval\dronevsbird\neg\BTR (4865).jpg,yoloworld,1,0.0156
data\images_eval\dronevsbird\neg\BTR (4866).jpg,yoloworld,1,0.0129
data\images_eval\dronevsbird\neg\BTR (4867).jpg,yoloworld,1,0.0082
data\images_eval\dronevsbird\neg\BTR (4868).jpg,yoloworld,1,0.0014
data\images_eval\dronevsbird\neg\BTR (4869).jpg,yoloworld,1,0.0127
data\images_eval\dronevsbird\neg\BTR (4870).jpg,yoloworld,1,0.0034
data\images_eval\dronevsbird\neg\BTR (4871).jpg,yoloworld,1,0.0088
data\images_eval\dronevsbird\neg\BTR (4872).jpg,yoloworld,1,0.0105
data\images_eval\dronevsbird\neg\BTR (4873).jpg,yoloworld,1,0.0064
data\images_eval\dronevsbird\neg\BTR (4874).jpg,yoloworld,1,0.0046
data\images_eval\dronevsbird\neg\BTR (4875).jpg,yoloworld,1,0.0155
data\images_eval\dronevsbird\neg\BTR (4876).jpg,yoloworld,1,0.0228
data\images_eval\dronevsbird\neg\BTR (4877).jpg,yoloworld,0,0.0
data\images_eval\dronevsbird\neg\BTR (4878).jpg,yoloworld,1,0.0067
data\images_eval\dronevsbird\neg\BTR (4879).jpg,yoloworld,1,0.0019
data\images_eval\dronevsbird\neg\BTR (4880).jpg,yoloworld,1,0.0035
data\images_eval\dronevsbird\neg\BTR (4881).jpg,yoloworld,1,0.0023
data\images_eval\dronevsbird\neg\BTR (4882).jpg,yoloworld,1,0.0039
data\images_eval\dronevsbird\neg\BTR (4883).jpg,yoloworld,1,0.0055
data\images_eval\dronevsbird\neg\BTR (4884).jpg,yoloworld,1,0.0028
data\images_eval\dronevsbird\neg\BTR (4885).jpg,yoloworld,1,0.0105
data\images_eval\dronevsbird\neg\BTR (4886).jpg,yoloworld,1,0.0015
data\images_eval\dronevsbird\neg\BTR (4887).jpg,yoloworld,1,0.0049
data\images_eval\dronevsbird\neg\BTR (4888).jpg,yoloworld,1,0.002
data\images_eval\dronevsbird\neg\BTR (4889).jpg,yoloworld,1,0.0054
data\images_eval\dronevsbird\neg\BTR (4890).jpg,yoloworld,1,0.0059
